[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 03:19:00,697 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:19:00,698 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:19:05,465 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:19:05,465 - client.file_transfer - INFO - Saving to: ./received_files\test_1.txt
2025-12-26 03:19:05,465 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:19:05,466 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:19:05,466 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test_1.txt'
2025-12-26 03:19:21,986 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:19:21,987 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:19:29,368 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:19:29,368 - client.file_transfer - INFO - Saving to: ./received_files\test_1.txt
2025-12-26 03:19:29,369 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:19:29,369 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:19:29,370 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test_1.txt'
2025-12-26 03:19:48,754 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:19:48,755 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:19:52,685 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:19:52,686 - client.file_transfer - INFO - Saving to: ./received_files\test.txt
2025-12-26 03:19:52,687 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:19:52,687 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:19:52,688 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test.txt'
2025-12-26 03:20:20,526 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 63998)
2025-12-26 03:33:54,925 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:33:56,984 - client.network - INFO - Registered as 'user05' with STUN server
2025-12-26 03:33:56,986 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2025-12-26 03:34:01,437 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:34:03,523 - client.network - INFO - Registered as 'user06' with STUN server
2025-12-26 03:34:03,524 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 03:34:10,512 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 56642)
2025-12-26 03:34:22,613 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 56645)
2025-12-26 03:34:34,667 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 56648)
2025-12-26 03:34:41,124 - client.tcp_handler - ERROR - Error handling incoming connection: 
2025-12-26 03:34:53,667 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:34:55,723 - client.network - INFO - Registered as 'user07' with STUN server
2025-12-26 03:34:55,725 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 03:35:03,461 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 56662)
2025-12-26 03:35:17,983 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:35:17,983 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:35:22,016 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:35:22,017 - client.file_transfer - INFO - Saving to: ./received_files\test.txt
2025-12-26 03:35:22,018 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:35:22,018 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:35:22,019 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test.txt'
2026-01-01 15:57:34,134 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 15:57:38,237 - client.network - ERROR - Cannot connect to STUN server at http://localhost:8000
2026-01-01 15:57:38,238 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 15:58:05,357 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 15:58:09,458 - client.network - ERROR - Cannot connect to STUN server at http://localhost:8000
2026-01-01 15:58:09,459 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 15:58:30,771 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 15:58:34,828 - client.network - ERROR - Cannot connect to STUN server at http://localhost:8000
2026-01-01 15:58:34,829 - __main__ - ERROR - Failed to register with STUN server. Exiting.
